minute done failed p50 p90 p99 max
1 119 0 0.245 0.728 1.144 1.234
2 237 0 0.274 0.803 1.476 2.534
3 354 0 0.308 0.959 1.713 2.250
4 493 0 0.363 0.847 1.720 2.269
5 620 0 0.321 0.989 1.818 2.250
6 733 0 0.328 0.865 1.530 2.534
7 855 0 0.326 0.904 1.653 2.275
8 993 0 0.338 0.997 1.739 2.250
9 1118 0 0.330 0.997 1.702 2.250
10 1235 0 0.333 0.997 1.702 2.250
11 1375 0 0.333 0.871 1.530 2.534
