minute done failed p50 p90 p99 max
1 72 0 0.160 1.519 7.002 7.002
2 89 0 0.295 3.349 11.440 11.440
3 98 0 0.522 5.208 18.067 18.067
4 104 0 0.723 5.178 17.337 20.441
5 118 0 0.970 7.380 17.337 20.441
6 131 0 0.821 8.285 19.606 21.553
7 135 0 1.538 9.508 17.337 20.441
8 142 0 1.585 9.775 17.470 19.241
9 157 0 1.197 10.145 23.179 27.461
10 161 0 1.741 10.650 20.441 21.861
11 170 0 1.490 12.507 19.799 20.494
