minute done failed p50 p90 p99 max
1 79 0 0.142 1.538 6.063 6.063
2 121 0 0.468 1.945 4.784 6.063
3 177 0 0.573 2.191 4.784 6.063
4 206 0 0.721 2.486 4.784 8.256
5 244 0 0.829 2.902 5.265 7.845
6 290 0 0.841 3.005 5.838 7.845
7 328 0 0.863 3.096 6.063 8.660
8 360 0 0.876 3.302 6.063 8.660
9 398 0 0.939 3.345 6.245 8.660
10 438 0 0.965 3.302 6.063 8.660
11 463 0 1.013 3.343 7.668 10.145
