minute done failed p50 p90 p99 max
1 58 0 0.142 3.079 6.691 6.691
2 81 0 0.412 3.256 17.411 17.411
3 104 0 0.692 3.636 13.678 17.411
4 128 0 0.806 5.254 13.678 17.411
5 135 0 1.138 5.690 18.046 19.744
6 155 0 1.216 6.191 14.551 17.411
7 169 0 1.412 7.031 14.551 17.411
8 179 0 1.507 7.479 18.036 20.196
9 187 1 1.442 7.136 19.744 30.029
10 204 0 1.634 8.372 18.187 26.813
11 206 1 1.494 8.808 19.744 30.029
