minute done failed p50 p90 p99 max
1 120 0 0.125 1.014 1.547 1.984
2 230 0 0.303 0.812 1.484 1.972
3 356 0 0.302 1.060 2.101 2.659
4 435 0 0.335 1.217 2.674 5.009
5 513 0 0.334 1.440 2.655 6.008
6 576 0 0.360 1.518 3.240 6.496
7 636 0 0.369 1.572 4.567 7.724
8 712 0 0.377 1.652 4.373 6.496
9 737 0 0.419 1.865 4.945 12.741
10 840 0 0.397 1.813 5.197 7.999
11 877 0 0.404 1.991 5.085 8.388
